datetime,city,state,country,shape,summary,report_date
05/17/2024 13:02,05/17/2024 13:02,Hugo,CO,USA,Oval,Reached for phone after viewing object for over a minute
05/16/2024 22:30,05/16/2024 22:30,Waterbury,CT,USA,Orb,Dozen sentient orange orbs moving slowly thru the trees towards me
05/16/2024 22:09,05/16/2024 22:09,Gerlach,NV,USA,Triangle,Large triangular object with series of three bright lights and two dimmer lights appearing underneath the two bright lights at the rear
05/16/2024 20:24,05/16/2024 20:24,Atlanta,GA,USA,Cylinder,"I was taking pictures of the sunset from the wing of the plane and saw two objects, one pear or egg-shaped and one cylindrical"
05/16/2024 20:06,05/16/2024 20:06,Orlando,FL,USA,Other,When first saw it was heading down then a few minutes later started to go up
05/16/2024 15:16,05/16/2024 15:16,Atlin,BC,Canada,Circle,I was in back of moving train outside-spotted white round object that dropped down then I filmed it moving left to right -
05/16/2024 13:35,05/16/2024 13:35,Comer,GA,USA,Orb,"They appear, get brighter, really bright, fade out while moving in random directions in the same vicinity, like a swarm of lights."
05/16/2024 00:40,05/16/2024 00:40,Cumming,GA,USA,Triangle,"Saw a triangle of three faint red lights, it did not move in a straight line"
05/15/2024 22:46,05/15/2024 22:46,Saint-Nazaire,Pays de la Loire,France,Light,Saw a light that was moving in the sky
05/15/2024 21:12,05/15/2024 21:12,Lagos,Lagos,Nigeria,Orb,It was a orbs of light with a very high speed and also pause for a while and then it continues at the same speed
05/15/2024 20:48,05/15/2024 20:48,Raleigh,NC,USA,Unknown,Lights in sky flying low
05/15/2024 20:12,05/15/2024 20:12,Buhl,ID,USA,Orb,I saw a fairly large orb with five flashing rainbow lights over my friends neighbors house
05/15/2024 20:11,05/15/2024 20:11,Buhl,ID,USA,Orb,Driving home with a friend and saw it over my neighbor's house
05/15/2024 19:00,05/15/2024 19:00,Long Beach,MS,USA,Triangle,A single light turned into 5 as it got closer
05/15/2024 18:45,05/15/2024 18:45,Barrydale,Western Cape,South Africa,Unknown,"Got called in to check a report of a fire on the hill. There was no fire, but 3 of us saw some lights"
05/15/2024 14:00,05/15/2024 14:00,Andrews,SC,USA,Disk,Low flying craft suddenly shined so bright it caught my line of sight. It disappeared within a 2 minute time that I saw it
05/15/2024 12:40,05/15/2024 12:40,Bozeman,MT,USA,Unknown,"Object was slowly moving South / South West over the Bridger Mountain Range just outside Bozeman, MT."
05/15/2024 03:59,05/15/2024 03:59,El Dorado Hills,CA,USA,Formation,They were a tube of lights that came in and out of the ground
05/15/2024 02:20,05/15/2024 02:20,Mazatlán,Sinaloa,Mexico,Light,Lights dropping from very high altitude and then heading south. Different locations and at differing interludes.
05/14/2024 20:15,05/14/2024 20:15,Oostende,West Flanders,Belgium,Orb,"A yellow orb with orange tinged edges, much too large to be a star or planet, appeared to the northeast above samaniego ridge."
05/14/2024 20:08,05/14/2024 20:08,Gastonia,NC,USA,Unknown,A black slow spinning object that was flashing floated up and out of sight while slowly spinning.
05/14/2024 20:00,05/14/2024 20:00,Boston,MA,USA,Sphere,I saw a quickly gliding wobbling hockey puck looking UAP/UFO flying in a straight line high in the sky but lower than an airplane.
05/13/2024 22:21,05/13/2024 22:21,Warrington,England,United Kingdom,Cigar,Picture of moon with brightly lit object to the right of the moon
05/13/2024 18:40,05/13/2024 18:40,Washington,DC,USA,Orb,"When looking at a clear blue sky, I saw 7 to 10 orbs in 3 created a triangle formation it disappeared and reappear twice"
05/13/2024 17:15,05/13/2024 17:15,Sarasota,FL,USA,Oval,It was flying like a plane but was flat as a pancake.
05/13/2024 09:27,05/13/2024 09:27,Batesburg-Leesville,SC,USA,Diamond,"Diamond shaped, matte dark grey, solid, massive"
05/13/2024 03:00,05/13/2024 03:00,Snohomish,WA,USA,Sphere,"White orb not moving then small orb is seen, darts around then leaves and large orb disappears"
05/13/2024 02:00,05/13/2024 02:00,Palmdale,CA,USA,Orb,"Appeared to be glowing from inside light source (was not a constant, but irregular variables)"
05/12/2024 22:12,05/12/2024 22:12,Otto,NC,USA,Flash,First sighting was 5/11/24. Looked in sky to see northern lights. Then saw the light flashes. The lights continued for 4 days.
05/12/2024 22:11,05/12/2024 22:11,Linwood,MI,USA,Circle,"Trying to check out the northern lights, seen something odd in the sky and took a video and photos"
05/12/2024 20:58,05/12/2024 20:58,Los Médanos,Baja California,Mexico,Cylinder,"We observed a very large (500-1500 ft long), dark, unlit, flying object flying below 10,000 ft down the Chico valley."
05/12/2024 20:55,05/12/2024 20:55,Kissimmee,FL,USA,Fireball,We witnessed a rocket like anomaly shooting upward in the sky.
05/12/2024 20:35,05/12/2024 20:35,Warren,MI,USA,Diamond,"Red Diamond Shaped Aircraft Travels South to North in Warren Michigan May 12, 2024"
05/12/2024 20:30,05/12/2024 20:30,Lansing,WV,USA,Circle,"Facing north looking up when large, fast-moving bright white “star” appeared at 1 oclock darting to 11 o’clock then disappeared in tree"
05/12/2024 20:10,05/12/2024 20:10,White Rock,NM,USA,Rectangle,Black rectangular craft with red lights breaks sound barrier with no sound.
05/12/2024 16:19,05/12/2024 16:19,Honolulu,HI,USA,Orb,Six orbs moving north in a formation
05/12/2024 15:30,05/12/2024 15:30,Hayward,WI,USA,Cigar,"It moved slower than a jet or plane, then angled up intentionally and flew up into a cloud. No fumes coming from it. Eerie speed"
05/12/2024 14:37,05/12/2024 14:37,Page,AZ,USA,Circle,Mysterious Glowing Circles Captured Above My Head in Vacation Photo
05/12/2024 04:44,05/12/2024 04:44,Smithton,IL,USA,Sphere,Object recorded by my security camera while I was sleeping
05/12/2024 00:01,05/12/2024 00:01,Ellijay,GA,USA,Orb,"Me and girlfriend in an extremely remote location, had a close encounter event!"
05/11/2024 23:59,05/11/2024 23:59,,Wales,United Kingdom,Circle,My son was waiting to see the northern lights and he videoed the event I have 3second video of it
05/11/2024 23:46,05/11/2024 23:46,Winter Haven,FL,USA,Light,"It appeared from nowhere, then disappeared with speed."
05/11/2024 23:30,05/11/2024 23:30,Abbotsford,BC,Canada,Triangle,Sighted a black triangle while viewing the night sky with binoculars
05/11/2024 23:22,05/11/2024 23:22,Bellingham,WA,USA,Cylinder,"Cylinder shape, No lights, No sound, traveling N-NE, low & steady pace"
05/11/2024 23:15,05/11/2024 23:15,York,ME,USA,Cylinder,Appeared continuously for 2.5 hours did not appear in any other areas of the sky besides directly above the lighthouse.
05/11/2024 22:43,05/11/2024 22:43,Pomona,CA,USA,Light,Traveling then stoped in mid air
05/11/2024 22:29,05/11/2024 22:29,Law,Scotland,United Kingdom,Light,"Orange light, no ADSB, no rocket, no trail"
05/11/2024 22:23,05/11/2024 22:23,Lincolnton,GA,USA,Formation,While looking for the northern lights and While photographing the moon a secondary object appeared in the photograph.
05/11/2024 22:03,05/11/2024 22:03,Ashwaubenon,WI,USA,Circle,White circle no sound and wobbled
05/11/2024 22:00,05/11/2024 22:00,Lake City,MI,USA,Circle,Vanishing bright light like a star or planet but not one
05/11/2024 22:00,05/11/2024 22:00,Cody,WY,USA,Fireball,White fireball fell down into the mountains
05/11/2024 22:00,05/11/2024 22:00,Cookeville,TN,USA,Circle,High altitude craft travelling out of the South heading North
05/11/2024 21:50,05/11/2024 21:50,,England,United Kingdom,Sphere,In the back garden having a barbecue with family then spotted an object which was fascinating. My son filmed it
05/11/2024 21:46,05/11/2024 21:46,Parlier,CA,USA,Diamond,The strange orb was blue and weird it lasted for about 2 minutes
05/11/2024 21:38,05/11/2024 21:38,Madison,AL,USA,Circle,"Changed directions, brightness, and speed"
05/11/2024 20:42,05/11/2024 20:42,Centerton,AR,USA,Circle,Observed a total of12 circular reddish-orange objects
05/11/2024 17:20,05/11/2024 17:20,Bolivar,MO,USA,Cube,"Rotating cube over Bolivar, MO"
05/11/2024 17:00,05/11/2024 17:00,Nashville,TN,USA,Sphere,Metallic sphere observed travelling near South Nashville.
05/11/2024 16:30,05/11/2024 16:30,Tacoma,WA,USA,Changing,Seen at approximately a 75 degree angle from my location. Very high altitude.
05/11/2024 14:00,05/11/2024 14:00,Rostrevor,Northern Ireland,United Kingdom,Cigar,Kilbroney Park
05/11/2024 12:00,05/11/2024 12:00,Narlidere,İzmir,Türkiye,Cigar,A Line-Shaped Object on Bostanlı Beach
05/11/2024 11:46,05/11/2024 11:46,St. Petersburg,FL,USA,Flash,"Pair of blinking green plane-like lights that hovered a while, then started to dart / jag at odd fast speeds"
05/11/2024 10:26,05/11/2024 10:26,Al Magwa,Al Ahmadi Governorate,Kuwait,Circle,Spotted something resembling the orions belt but it was moving at a medium pace and looking like a star at night
05/11/2024 10:06,05/11/2024 10:06,New York,NY,USA,Unknown,Weather Balloon / Satellite?
05/11/2024 07:13,05/11/2024 07:13,Redmond,OR,USA,Other,"Jellyfish style UAP traveling from the west, to the east"
05/11/2024 06:12,05/11/2024 06:12,Norfolk,VA,USA,Triangle,Took a shot of the end of the rainbow and did not see this until we looked at the photo on a big screen today.
05/11/2024 04:44,05/11/2024 04:44,Levittown,NY,USA,Orb,"A bright orb appeared in the NW sky, right after witnessing rare Northern Lights, and glided SE direction, spinning, changing colors ,"
05/11/2024 01:38,05/11/2024 01:38,Seattle,WA,USA,Unknown,Triangular arrangement of lights flying swiftly and rotating
05/11/2024 01:30,05/11/2024 01:30,Tiefenbronn,Baden-Württemberg,Germany,Triangle,"Fast and slow movement with standing still up and down, no sound"
05/11/2024 01:25,05/11/2024 01:25,Hilton,NY,USA,Orb,Flashing lights coming from a heavily wooded area night of aurora borealis
05/11/2024 00:02,05/11/2024 00:02,Wirral,England,United Kingdom,Circle,White light jumping in different directions
05/10/2024 22:30,05/10/2024 22:30,Jamestown,NY,USA,Orb,Orb sighting in the roadside shrubbery
05/10/2024 22:25,05/10/2024 22:25,Montezuma,GA,USA,Cigar,Was taking pictures of aurora's then noticed two lights
05/10/2024 21:00,05/10/2024 21:00,Allegany,NY,USA,Triangle,Went outside to see the northern lights and saw a multiple circle of lights in the northeast sky..
05/10/2024 21:00,05/10/2024 21:00,Clewiston,FL,USA,Light,We saw 2 extremely bright lights 50 feet off the ground going past us heading south
05/10/2024 19:57,05/10/2024 19:57,Niagara Falls,NY,USA,Fireball,Fireball Soaring above clouds
05/10/2024 05:00,05/10/2024 05:00,Westland,MI,USA,Other,an electrical arc hovering
05/09/2024 22:38,05/09/2024 22:38,Perris,CA,USA,Light,A short appearance and disappearance of an orange light.
05/09/2024 22:30,05/09/2024 22:30,Moldava,Ústí nad Labem Region,Czechia,Flash,Sudden flashing light after CE5 practice
05/09/2024 22:00,05/09/2024 22:00,Mesquite,NV,USA,Formation,Formations were constant and Multiple Aircraft in each formation I would say I’ve seen at least 30 or more different formations
05/09/2024 21:38,05/09/2024 21:38,San José del Cabo,Baja California Sur,Mexico,Triangle,"We saw a triangular/round bright light in the sky moving quickly, it then completely disappeared even though the sky had no clouds."
05/09/2024 21:35,05/09/2024 21:35,Fresno,CA,USA,Light,Solid light moved from SW to NE with no dimming of solid white light.
05/09/2024 20:39,05/09/2024 20:39,Scottsdale,AZ,USA,Star,"I saw what looked like a star twinkling but then it was going brighter then dimmer, flashing - then it took off quickly to the right"
05/09/2024 20:00,05/09/2024 20:00,,,Chile,Changing,Hey series of four orange irregular shaped orbs that would appear then disappear
05/09/2024 15:30,05/09/2024 15:30,Springfield,OR,USA,Cigar,I spotted a white object about 45 degrees above the horizon then pointed it out to my son in the car then the object fades away.
05/09/2024 15:25,05/09/2024 15:25,Louisville,KY,USA,Changing,"Noticed an unusually bright object, started taking photos with a nikon z7II with a 300mm zoom."
05/09/2024 14:27,05/09/2024 14:27,Francis,UT,USA,Cigar,"I took a few pics of a funnel cloud that was just south of my location in Francis, UT. One pic showed an object"
05/08/2024 23:23,05/08/2024 23:23,Abdón Castro Tolay,Jujuy Province,Argentina,Light,"At first, it seemed like a vehicle, but then it began to rise and rise."
05/08/2024 21:55,05/08/2024 21:55,Seattle,WA,USA,Fireball,Huge huge fireball with a red tail falling from sky.
05/08/2024 18:55,05/08/2024 18:55,Gower,Victoria,Australia,Orb,"During an evening walk on property in bushland, a main craft was sighted high in the sky, followed by multiple others"
05/08/2024 18:30,05/08/2024 18:30,Phoenix,AZ,USA,Rectangle,It was so unusual and mesmerizing
05/08/2024 07:25,05/08/2024 07:25,Lewisville,NC,USA,Sphere,White sphere observed in sky.
05/08/2024 01:09,05/08/2024 01:09,Taylorsville,UT,USA,Unknown,Aircraft was traveling west over salt lake valley
05/08/2024 00:15,05/08/2024 00:15,Key Largo,FL,USA,Orb,Low orbit stars repositioning 2xs and swiftly move
05/07/2024 22:10,05/07/2024 22:10,St. Cloud,MN,USA,Light,"Light traveling fast and then vanished, followed by another aircraft."
05/07/2024 19:00,05/07/2024 19:00,Mountain View,CA,USA,Cylinder,White cylinder in the sky
05/07/2024 16:27,05/07/2024 16:27,Rhodes Corner,NS,Canada,Cone,I saw flashing lights in the sky and this coned shaped blackish red thing was zooming thru
05/07/2024 15:00,05/07/2024 15:00,Anderson,SC,USA,Flash,I saw a bright flash and then the light moved from right to left and zoomed off quickly
05/07/2024 11:40,05/07/2024 11:40,Philadelphia,PA,USA,Cylinder,High up 3 bright white lights. Moving slowing then stopping and staying still slightly changing position repeat staying still
05/07/2024 02:00,05/07/2024 02:00,Vail,AZ,USA,Light,Coming from the constellation of Cassiopeia. Most move left to right. Some move from up to down. Some change directions.
05/07/2024 01:30,05/07/2024 01:30,Eagle Mountain,UT,USA,Unknown,Flashing light behaving erratically moving extremely fast
05/06/2024 21:25,05/06/2024 21:25,Bradenton,FL,USA,Formation,100 blue orb formations white starlike orbs speeding across sky and speeding towards each other!
05/06/2024 21:20,05/06/2024 21:20,Tucson,AZ,USA,Light,Thought it was a meteorite until it changed direction.
